step,word_index,start,end,duration,word
intro-5,14,00:04.20,00:04.60,0.4,early
intro-5,15,00:04.60,00:05.20,0.6,aughts
intro-5,16,00:05.30,00:05.45,0.15,on
intro-5,17,00:05.45,00:06.05,0.6,parallel
intro-5,18,00:06.05,00:06.30,0.25,pop
intro-5,19,00:06.30,00:06.75,0.45,culture
intro-5,20,00:06.75,00:07.35,0.6,treasure
intro-5,21,00:07.35,00:08.10,0.75,"hunts,"
intro-5,22,00:08.40,00:08.65,0.25,even
intro-5,23,00:08.65,00:08.85,0.2,"if,"
intro-5,24,00:08.85,00:09.00,0.15,at
intro-5,25,00:09.00,00:09.12,0.12,the
intro-5,26,00:09.12,00:09.60,0.48,"time,"
intro-5,27,00:09.70,00:09.85,0.15,we
intro-5,28,00:09.85,00:10.25,0.4,couldn't
intro-5,29,00:10.25,00:10.55,0.3,see
intro-5,30,00:10.55,00:10.70,0.15,the
intro-5,31,00:10.70,00:11.40,0.7,connecting
intro-5,32,00:11.40,00:12.10,0.7,thread.
intro-6,1,00:00.00,00:00.20,0.2,This
intro-6,2,00:00.20,00:00.35,0.15,is
intro-6,3,00:00.35,00:00.50,0.15,the
intro-6,4,00:00.50,00:00.90,0.4,story
intro-6,5,00:00.90,00:01.05,0.15,of
intro-6,6,00:01.05,00:01.25,0.2,what
intro-6,7,00:01.25,00:01.75,0.5,happens
intro-6,8,00:01.75,00:01.95,0.2,when
intro-6,9,00:01.95,00:02.30,0.35,those
intro-6,10,00:02.30,00:03.10,0.8,connections
intro-6,11,00:03.25,00:03.45,0.4,—
intro-6,11,00:03.45,00:03.55,0.4,ahem
intro-6,11,00:03.55,00:03.65,0.4,—
intro-6,12,00:03.65,00:04.60,0.95,"""queernections"""
intro-6,13,00:04.60,00:04.95,0.35,become
intro-6,14,00:04.95,00:05.65,0.7,visible.
intro-6,15,00:06.00,00:06.35,0.35,Enter
intro-6,16,00:06.35,00:06.50,0.15,the
intro-6,17,00:06.50,00:06.75,0.25,two
intro-6,18,00:06.75,00:06.90,0.15,of
intro-6,19,00:06.90,00:07.40,0.5,us:
intro-6,20,00:07.60,00:08.10,0.5,Ashleé
intro-6,21,00:08.10,00:08.30,0.2,and
intro-6,22,00:08.30,00:08.85,0.55,Jan.
intro-6,23,00:09.15,00:09.30,0.15,We
intro-6,24,00:09.30,00:09.65,0.35,first
intro-6,25,00:09.65,00:09.95,0.3,met
intro-6,26,00:09.95,00:10.35,0.4,around
intro-6,27,00:10.35,00:11.15,0.8,2005
intro-6,28,00:11.15,00:11.30,0.15,at
intro-6,29,00:11.30,00:11.75,0.45,Western
intro-6,30,00:11.75,00:12.30,0.55,Kentucky
intro-6,31,00:12.30,00:13.05,0.75,University's
intro-6,32,00:13.05,00:13.45,0.4,student
intro-6,33,00:13.45,00:14.20,0.75,newspaper.
intro-7,1,00:00.00,00:00.30,0.3,Jan
intro-7,2,00:00.30,00:00.50,0.2,was
intro-7,3,00:00.50,00:01.10,0.6,closeted
intro-7,4,00:01.10,00:01.35,0.25,because
intro-7,5,00:01.35,00:01.50,0.15,she
intro-7,6,00:01.50,00:01.65,0.15,was
intro-7,7,00:01.65,00:01.95,0.3,still
intro-7,8,00:01.95,00:02.35,0.4,figuring
intro-7,9,00:02.35,00:02.55,0.2,out
intro-7,10,00:02.55,00:02.70,0.15,her
intro-7,11,00:02.70,00:03.50,0.8,sexuality
intro-7,12,00:03.80,00:03.95,0.15,and
intro-7,13,00:03.95,00:04.10,0.15,was
intro-7,14,00:04.10,00:04.75,0.65,terrified
intro-7,15,00:04.75,00:04.88,0.13,of
intro-7,16,00:04.88,00:05.00,0.12,the
intro-7,17,00:05.00,00:05.45,0.45,negative
intro-7,18,00:05.45,00:05.90,0.45,impact
intro-7,19,00:05.90,00:06.05,0.15,that
intro-7,20,00:06.05,00:06.35,0.3,coming
intro-7,21,00:06.35,00:06.55,0.2,out
intro-7,22,00:06.55,00:06.70,0.15,would
intro-7,23,00:06.70,00:06.90,0.2,have
intro-7,24,00:06.90,00:07.05,0.15,on
intro-7,25,00:07.05,00:07.18,0.13,the
intro-7,26,00:07.18,00:07.50,0.32,people
intro-7,27,00:07.50,00:07.65,0.15,she
intro-7,28,00:07.65,00:08.30,0.65,respected
intro-7,29,00:08.60,00:09.25,0.65,"especially,"
intro-7,30,00:09.25,00:09.40,0.15,in
intro-7,31,00:09.40,00:09.55,0.15,her
intro-7,32,00:09.55,00:10.25,0.7,conservative
intro-7,33,00:10.25,00:10.95,0.7,hometown.
intro-8,1,00:00.00,00:00.45,0.45,Ashleé
intro-8,2,00:00.45,00:00.70,0.25,grew
intro-8,3,00:00.70,00:00.90,0.2,up
intro-8,4,00:00.90,00:01.30,0.4,knowing
intro-8,5,00:01.30,00:01.45,0.15,she
intro-8,6,00:01.45,00:01.65,0.2,was
intro-8,7,00:01.65,00:02.30,0.65,different
intro-8,8,00:02.55,00:02.75,0.2,but
intro-8,9,00:02.75,00:02.90,0.15,was
intro-8,10,00:02.90,00:03.35,0.45,unable
intro-8,11,00:03.35,00:03.48,0.13,to
intro-8,12,00:03.48,00:03.70,0.22,put
intro-8,13,00:03.70,00:03.80,0.1,a
intro-8,14,00:03.80,00:04.10,0.3,name
intro-8,15,00:04.10,00:04.25,0.15,on
intro-8,16,00:04.25,00:04.38,0.13,the
intro-8,17,00:04.38,00:04.80,0.42,flutter
intro-8,18,00:04.80,00:04.98,0.18,she
intro-8,19,00:04.98,00:05.30,0.32,felt
intro-8,20,00:05.30,00:05.50,0.2,when
intro-8,21,00:05.50,00:05.90,0.4,certain
intro-8,22,00:05.90,00:06.30,0.4,women
intro-8,23,00:06.30,00:06.60,0.3,popped
intro-8,24,00:06.60,00:06.80,0.2,up
intro-8,25,00:06.80,00:06.95,0.15,on
intro-8,26,00:06.95,00:07.15,0.2,her
intro-8,27,00:07.15,00:07.80,0.65,TV.
intro-8,28,00:08.15,00:08.35,0.2,And
intro-8,29,00:08.35,00:08.50,0.15,as
intro-8,30,00:08.50,00:08.65,0.15,an
intro-8,31,00:08.65,00:09.25,0.6,"adult,"
intro-8,32,00:09.50,00:09.65,0.15,the
intro-8,33,00:09.65,00:10.10,0.45,bounds
intro-8,34,00:10.10,00:10.25,0.15,of
intro-8,35,00:10.25,00:11.10,0.85,compulsory
intro-8,36,00:11.10,00:12.25,1.15,heterosexuality
intro-8,37,00:12.25,00:12.65,0.4,sucked
intro-8,38,00:12.65,00:12.85,0.2,out
intro-8,39,00:12.85,00:12.98,0.13,the
intro-8,40,00:12.98,00:13.40,0.42,space
intro-8,41,00:13.40,00:13.55,0.15,for
intro-8,42,00:13.55,00:13.75,0.2,her
intro-8,43,00:13.75,00:13.88,0.13,to
intro-8,44,00:13.88,00:14.35,0.47,imagine
intro-8,45,00:14.35,00:14.70,0.35,life
intro-8,46,00:14.70,00:14.85,0.15,as
intro-8,47,00:14.85,00:14.95,0.1,a
intro-8,48,00:14.95,00:15.30,0.35,gay
intro-8,49,00:15.30,00:16.00,0.7,woman.
intro-9,1,00:00.00,00:00.20,0.2,By
intro-9,2,00:00.20,00:00.32,0.12,the
intro-9,3,00:00.32,00:00.60,0.28,time
intro-9,4,00:00.60,00:00.80,0.2,we
intro-9,5,00:00.80,00:01.60,0.8,reconnected
intro-9,6,00:01.60,00:01.75,0.15,in
intro-9,7,00:01.75,00:01.95,0.2,our
intro-9,8,00:01.95,00:02.60,0.65,"30s,"
intro-9,9,00:02.80,00:03.10,0.3,Jan
intro-9,10,00:03.10,00:03.30,0.2,was
intro-9,11,00:03.30,00:03.60,0.3,out
intro-9,12,00:03.60,00:03.75,0.15,and
intro-9,13,00:03.75,00:04.20,0.45,married
intro-9,14,00:04.20,00:04.35,0.15,to
intro-9,15,00:04.35,00:04.45,0.1,a
intro-9,16,00:04.45,00:05.10,0.65,woman.
intro-9,17,00:05.40,00:05.85,0.45,Ashleé
intro-9,18,00:05.85,00:06.05,0.2,was
intro-9,19,00:06.05,00:06.65,0.6,divorced
intro-9,20,00:06.65,00:06.85,0.2,from
intro-9,21,00:06.85,00:06.95,0.1,a
intro-9,22,00:06.95,00:07.40,0.45,man
intro-9,23,00:07.60,00:07.80,0.2,and
intro-9,24,00:07.80,00:08.55,0.75,identified
intro-9,25,00:08.55,00:08.75,0.2,as
intro-9,26,00:08.75,00:09.35,0.6,queer.
intro-9,27,00:09.80,00:10.05,0.25,Our
intro-9,28,00:10.05,00:10.45,0.4,paths
intro-9,29,00:10.45,00:10.60,0.15,to
intro-9,30,00:10.60,00:11.15,0.55,nurturing
intro-9,31,00:11.15,00:11.35,0.2,our
intro-9,32,00:11.35,00:12.00,0.65,authentic
intro-9,33,00:12.00,00:12.60,0.6,selves
intro-9,34,00:12.60,00:12.80,0.2,had
intro-9,35,00:12.80,00:13.50,0.7,completely
intro-9,36,00:13.50,00:14.30,0.8,"diverged,"
intro-9,37,00:14.60,00:14.80,0.2,but
intro-9,38,00:14.80,00:14.95,0.15,we
intro-9,39,00:14.95,00:15.15,0.2,could
intro-9,40,00:15.15,00:15.45,0.3,still
intro-9,41,00:15.45,00:15.80,0.35,point
intro-9,42,00:15.80,00:15.95,0.15,to
intro-9,43,00:15.95,00:16.10,0.15,the
intro-9,44,00:16.10,00:16.60,0.5,exact
intro-9,45,00:16.60,00:17.00,0.4,same
intro-9,46,00:17.00,00:17.55,0.55,pivotal
intro-9,47,00:17.55,00:18.15,0.6,moments
intro-9,48,00:18.15,00:18.35,0.2,that
intro-9,49,00:18.35,00:18.65,0.3,led
intro-9,50,00:18.65,00:18.85,0.2,us
intro-9,51,00:18.85,00:19.50,0.65,home.
