step,word_index,start,end,duration,word
intro-0,1,00:00.00,00:00.35,0.35,Growing
intro-0,2,00:00.35,00:00.50,0.15,up
intro-0,3,00:00.50,00:00.62,0.12,in
intro-0,4,00:00.62,00:00.75,0.13,the
intro-0,5,00:00.75,00:01.15,0.4,90s
intro-0,6,00:01.15,00:01.40,0.25,felt
intro-0,7,00:01.40,00:01.60,0.2,like
intro-0,8,00:01.60,00:01.70,0.1,a
intro-0,9,00:01.70,00:02.30,0.6,communal
intro-0,10,00:02.30,00:02.90,0.6,"experience,"
intro-0,11,00:03.30,00:03.45,0.15,a
intro-0,12,00:03.45,00:03.85,0.4,giant
intro-0,13,00:03.85,00:04.35,0.5,collective
intro-0,14,00:04.35,00:04.80,0.45,rumbling
intro-0,15,00:04.80,00:05.10,0.3,ball
intro-0,16,00:05.10,00:05.25,0.15,of
intro-0,17,00:05.25,00:06.00,0.75,prepubescent
intro-0,18,00:06.00,00:06.60,0.6,anxiety.
intro-1,1,00:00.00,00:00.35,0.35,Before
intro-1,2,00:00.35,00:00.48,0.13,the
intro-1,3,00:00.48,00:01.00,0.52,internet
intro-1,4,00:01.00,00:01.35,0.35,became
intro-1,5,00:01.35,00:01.48,0.13,the
intro-1,6,00:01.48,00:02.15,0.67,"internet,"
intro-1,7,00:02.45,00:02.58,0.13,it
intro-1,8,00:02.58,00:02.75,0.17,was
intro-1,9,00:02.75,00:03.05,0.3,hard
intro-1,10,00:03.05,00:03.18,0.13,to
intro-1,11,00:03.18,00:03.50,0.32,find
intro-1,12,00:03.50,00:03.70,0.2,your
intro-1,13,00:03.70,00:04.25,0.55,people
intro-1,14,00:04.55,00:04.75,0.2,and
intro-1,15,00:04.75,00:05.15,0.4,curate
intro-1,16,00:05.15,00:05.35,0.2,your
intro-1,17,00:05.35,00:06.05,0.7,entertainment
intro-1,18,00:06.05,00:06.65,0.6,diet.
intro-1,19,00:07.05,00:07.30,0.25,"So,"
intro-1,20,00:07.30,00:07.45,0.15,we
intro-1,21,00:07.45,00:07.70,0.25,all
intro-1,22,00:07.70,00:08.30,0.6,consumed
intro-1,23,00:08.30,00:08.42,0.12,the
intro-1,24,00:08.42,00:08.75,0.33,same
intro-1,25,00:08.75,00:09.00,0.25,pop
intro-1,26,00:09.00,00:09.45,0.45,culture
intro-1,27,00:09.45,00:09.60,0.15,as
intro-1,28,00:09.60,00:09.80,0.2,our
intro-1,29,00:09.80,00:10.45,0.65,peers.
intro-2,1,00:00.00,00:00.20,0.2,"But,"
intro-2,2,00:00.20,00:00.50,0.3,every
intro-2,3,00:00.50,00:00.75,0.25,so
intro-2,4,00:00.75,00:01.25,0.5,often
intro-2,5,00:01.45,00:01.60,0.15,a
intro-2,6,00:01.60,00:02.35,0.75,cataclysmic
intro-2,7,00:02.35,00:02.80,0.45,event
intro-2,8,00:02.80,00:03.05,0.25,would
intro-2,9,00:03.05,00:03.40,0.35,fling
intro-2,10,00:03.40,00:03.65,0.25,some
intro-2,11,00:03.65,00:03.78,0.13,of
intro-2,12,00:03.78,00:04.00,0.22,us
intro-2,13,00:04.00,00:04.15,0.15,to
intro-2,14,00:04.15,00:04.28,0.13,the
intro-2,15,00:04.28,00:04.65,0.37,outer
intro-2,16,00:04.65,00:05.10,0.45,edges
intro-2,17,00:05.10,00:05.22,0.12,of
intro-2,18,00:05.22,00:05.35,0.13,this
intro-2,19,00:05.35,00:06.25,0.9,homogeneous
intro-2,20,00:06.25,00:06.90,0.65,bubble.
intro-3,1,00:00.00,00:00.55,0.55,Suddenly
intro-3,2,00:00.55,00:00.70,0.15,our
intro-3,3,00:00.70,00:01.25,0.55,timelines
intro-3,4,00:01.25,00:01.50,0.25,didn't
intro-3,5,00:01.50,00:01.75,0.25,sync
intro-3,6,00:01.75,00:02.20,0.45,up.
intro-3,7,00:02.50,00:02.65,0.15,Our
intro-3,8,00:02.65,00:03.15,0.5,teenage
intro-3,9,00:03.15,00:03.65,0.5,sapphic
intro-3,10,00:03.65,00:04.20,0.55,yearning
intro-3,11,00:04.20,00:04.40,0.2,was
intro-3,12,00:04.40,00:05.00,0.6,analog
intro-3,13,00:05.00,00:05.20,0.2,and
intro-3,14,00:05.20,00:05.90,0.7,lonely.
intro-4,1,00:00.00,00:00.18,0.18,In
intro-4,2,00:00.18,00:00.32,0.14,the
intro-4,3,00:00.32,00:00.80,0.48,absence
intro-4,4,00:00.80,00:00.95,0.15,of
intro-4,5,00:00.95,00:01.55,0.6,mainstream
intro-4,6,00:01.55,00:01.85,0.3,queer
intro-4,7,00:01.85,00:02.40,0.55,"icons,"
intro-4,8,00:02.60,00:02.75,0.15,we
intro-4,9,00:02.75,00:03.05,0.3,found
intro-4,10,00:03.05,00:03.55,0.5,ourselves
intro-4,11,00:03.55,00:03.90,0.35,drawn
intro-4,12,00:03.90,00:04.05,0.15,to
intro-4,13,00:04.05,00:04.60,0.55,examples
intro-4,14,00:04.60,00:04.75,0.15,of
intro-4,15,00:04.75,00:05.50,0.75,otherness.
intro-4,16,00:05.90,00:06.10,0.2,We
intro-4,17,00:06.10,00:06.85,0.75,unconsciously
intro-4,18,00:06.85,00:07.25,0.4,clocked
intro-4,19,00:07.25,00:07.55,0.3,gay
intro-4,20,00:07.55,00:08.20,0.65,subtext
intro-4,21,00:08.40,00:08.55,0.15,and
intro-4,22,00:08.55,00:08.80,0.25,made
intro-4,23,00:08.80,00:08.95,0.15,it
intro-4,24,00:08.95,00:09.10,0.15,the
intro-4,25,00:09.10,00:09.40,0.3,main
intro-4,26,00:09.40,00:10.05,0.65,story.
intro-5,1,00:00.00,00:00.15,0.15,It
intro-5,2,00:00.15,00:00.35,0.2,took
intro-5,3,00:00.35,00:00.50,0.15,us
intro-5,4,00:00.50,00:00.95,0.45,almost
intro-5,5,00:00.95,00:01.45,0.5,20
intro-5,6,00:01.45,00:02.00,0.55,years
intro-5,7,00:02.00,00:02.15,0.15,to
intro-5,8,00:02.15,00:02.70,0.55,realize
intro-5,9,00:02.80,00:03.05,0.25,we'd
intro-5,10,00:03.05,00:03.40,0.35,spent
intro-5,11,00:03.40,00:03.55,0.15,the
intro-5,12,00:03.55,00:04.05,0.5,90s
intro-5,13,00:04.05,00:04.20,0.15,and
