date,event,janTheme,ashleéTheme,match
January 1989,START,,,0
August 1989,Kelly Kapowski,,beHer,0
September 1989,Raven Symone,,gaySeeGay,0
September 1990,"Lori ""Ice"" Fetrick",girlPower,girlPower,1
January 1991,Same-sex couples,publicOpinion,,0
May 1991,Thelma and Louise,girlPower,girlPower,1
September 1991,The Jerry Springer Show,representation,,0
November 1991,TLC condoms outfits,girlPower,girlPower,1
December 1991,"""Lebanese"" episode",,girlPower,0
December 1991,Fried Green Tomatoes,,gaySeeGay,0
April 1992,Linda Ellerbee,gaySeeGay,,0
June 1992,Michelle Pfeiffer,beHer,,0
July 1992,A League of Their Own (movie),beHer,girlPower,0
March 1993,Stone Butch Blues,trueSelves,,0
August 1993,k.d. lang/Cindy Crawford,genderConstruct,beHer,0
September 1993,Babeland,trueSelves,,0
September 1993,Gillian Anderson,beHer,,0
September 1993,"Beth's ""I'm not gay, but my girlfriend is"" shirt",gaySeeGay,representation,0
October 1993,Green Ranger/Tommy,trueSelves,trueSelves,1
October 1993,Mrs. Doubtfire,genderConstruct,genderConstruct,1
November 1993,Debbie Zelensky,,beHer,0
March 1994,Spice Girls,girlPower,girlPower,1
May 1994,Alicia Silverstone/Liv Tyler,beHer,,0
June 1994,Da Brat,gaySeeGay,gaySeeGay,1
August 1995,Victoria's Secret Fashion Show,beHer,,0
September 1995,Elizabeth Berkley,beHer,beHer,1
September 1995,Xena,,beHer,0
October 1995,Now and Then,gaySeeGay,,0
May 1996,Gurl.com,trueSelves,,0
June 1996,The Rosie O'Donnell Show,,gaySeeGay,0
July 1996,1996 Atlanta Olympics,girlPower,girlPower,1
August 1996,Miss Honey,beHer,trueSelves,0
October 1996,Jennifer Tilly/Gina Gershon,,beHer,0
October 1996,Vagina Monologues,,representation,0
March 1997,MTV Spring Break,publicOpinion,,0
March 1997,Willow/Tara,,,1
April 1997,Ellen/Laura Dern,,publicOpinion,0
May 1997,A/S/L,trueSelves,,0
June 1997,WNBA,gaySeeGay,girlPower,0
July 1997,Lillith Fair,girlPower,girlPower,1
December 1997,Kate Winslet,beHer,beHer,1
January 1998,Angelina Jolie,beHer,beHer,1
March 1998,Neve Campbell/Denise Richards,beHer,beHer,1
June 1998,Mulan,genderConstruct,girlPower,0
June 1998,Sex and the City,,representation,0
October 1998,Matthew Shepard Murder,publicOpinion,publicOpinion,1
November 1998,Tegan and Sara,,,1
November 1998,Him,,genderConstruct,0
December 1998,Josh Hartnett,trueSelves,,0
January 1999,Thong Song,trueSelves,beHer,0
March 1999,Man I Feel Like a Woman,genderConstruct,genderConstruct,1
March 1999,Sarah Michelle Gellar/Selma Blair,beHer,representation,0
June 1999,Ruthie,representation,representation,1
July 1999,Undressed,beHer,,0
July 1999,Brandi Chastian,girlPower,girlPower,1
September 1999,But I'm a Cheerleader,gaySeeGay,trueSelves,0
September 1999,Detective Olivia Benson,beHer,girlPower,0
September 1999,Lil Kim's Boob/Diana Ross,publicOpinion,publicOpinion,1
October 1999,Boys Don't Cry,publicOpinion,publicOpinion,1
February 2000,Same-sex couples,publicOpinion,,0
February 2000,The Chicks,girlPower,girlPower,1
April 2000,Love and Basketball,beHer,girlPower,0
August 2000,Coyote Ugly,beHer,,0
August 2000,Bring It On,beHer,girlPower,0
May 2001,Vests,trueSelves,trueSelves,1
September 2001,September 11th,publicOpinion,,0
March 2002,Halle Berry Oscars dress,beHer,,0
March 2002,Hilary Duff/Christy Carlson Romano,beHer,,0
April 2002,AfterEllen,trueSelves,,0
