date,event,janTheme,ashleéTheme,match
August 2002,All the Things She Said ,trueSelves,representation,0
August 2003,Evan Rachel Wood/Nikki Reed,beHer,,0
August 2003,Bend it Like Beckham,,trueSelves,0
August 2003,Britney & Madonna (& Christina) kiss,beHer,representation,0
October 2003,Wicked (Broadway),,girlPower,0
January 2004,Janet Jackson wardrobe malfunction,publicOpinion,publicOpinion,1
January 2004,Saved!,,representation,0
January 2004,The L Word,trueSelves,representation,0
April 2004,Mean Girls,publicOpinion,,0
July 2004,Halle Berry,beHer,beHer,1
February 2005,Alex/Marissa,representation,,0
July 2005,Hayley Williams,beHer,,0
September 2005,Kim Stolz,beHer,,0
November 2005,Spashley,representation,,0
January 2006,Gabrielle/Susan kiss,representation,,0
January 2006,Fun Home,gaySeeGay,representation,0
October 2006,Oprah,representation,,0
February 2007,Like a Boy,genderConstruct,beHer,0
February 2007,Shakira/Beyoncé,beHer,beHer,1
October 2007,Dani,representation,representation,1
April 2008,I Kissed A Girl,representation,representation,1
August 2008,Uh Huh Her,gaySeeGay,,0
September 2008,Rachel Maddow,gaySeeGay,,0
October 2008,Callie/Arizona,representation,trueSelves,0
October 2008,Dearly Not Queerly / No Homo / That's So Gay,publicOpinion,representation,0
October 2008,If I Were a Boy,,beHer,0
November 2008,Legalize Gay,trueSelves,,0
November 2008,Lindsay Lohan/Samantha Ronson,beHer,representation,0
November 2008,Prop 8,publicOpinion,publicOpinion,1
February 2009,RuPaul's Drag Race,genderConstruct,genderConstruct,1
March 2009,Autostraddle,gaySeeGay,representation,0
July 2009,She Wolf video,beHer,,0
September 2009,Jennifer's Body,beHer,,0
April 2010,Lady Gaga Strap-on,genderConstruct,,0
December 2010,Don't Ask Don't Tell repeal,publicOpinion,publicOpinion,1
September 2011,Santana/Brittney,beHer,representation,0
June 2013,United States v. Windsor,publicOpinion,,0
July 2013,Orange is the New Black,representation,representation,1
October 2013,Blue is the Warmest Color,beHer,beHer,1
November 2013,Frozen,,trueSelves,0
January 2014,Shakira/Rhianna ,beHer,,0
January 2015,Kate McKinnon,gaySeeGay,,0
May 2015,Carol/Therese,representation,representation,1
June 2015,Obergefell v. Hodges,publicOpinion,representation,0
August 2015,Kim Davis,publicOpinion,publicOpinion,1
December 2015,Sarah Paulson/Holland Taylor,beHer,representation,0
June 2016,Pulse,publicOpinion,publicOpinion,1
August 2016,Megan Rapinoe/Sue Bird,gaySeeGay,gaySeeGay,1
September 2016,The Handmaiden,,beHer,0
February 2017,"""I’m, like, so gay, dude.""",gaySeeGay,gaySeeGay,1
March 2017,Great Fairies,representation,,0
January 2018,Lesbian Masterdoc,,trueSelves,0
April 2018,Ronit/Esti,beHer,,0
April 2018,Killing Eve,,beHer,0
April 2018,Pink,gaySeeGay,beHer,0
May 2018,Hayley Kiyoko/Kehlani,beHer,,0
January 2019,Sex Education,representation,trueSelves,0
May 2019,Red White and Royal Blue,,representation,0
September 2019,Woxer/Tomboy X,trueSelves,trueSelves,1
October 2020,"Lauren Jauregui on ""Camren""",publicOpinion,,0
December 2020,Layshia Clarendon,genderConstruct,,0
March 2021,Cardi B/Megan Thee Stalliion,beHer,girlPower,0
June 2021,Everyone is Awesome,representation,representation,1
June 2021,Queen Latifah comes out,,trueSelves,0
November 2021,Bradley/Laura,beHer,,0
January 2022,Amy Schneider,representation,representation,1
February 2022,Boyfriend,beHer,,0
June 2022,Repeal of Roe v. Wade,publicOpinion,publicOpinion,1
August 2022,A League of Their Own (TV),gaySeeGay,representation,0
May 2023,Queer Ultimatum,representation,representation,1
August 2023,Bottoms,gaySeeGay,trueSelves,0
August 2023,Reneé Rapp,beHer,representation,0
September 2023,Chappell Roan,gaySeeGay,representation,0
May 2024,"""Got the strap in my bag like a freak bitch""",trueSelves,,0
July 2024,Ilona Maher,beHer,girlPower,0
July 2024,Melissa Etheridge/David Crosby,,publicOpinion,0
September 2024,Alex Morgan and the Lesbians,girlPower,,0
November 2024,Wicked (movie),,trueSelves,0
February 2025,Kehlani/KWN,beHer,beHer,1
April 2025,Studyoncé,,beHer,0
July 2025,Margo/Sophie,beHer,,0
July 2025,Stud Budz,gaySeeGay,representation,0
August 2025,K-Pop Demon Hunters,gaySeeGay,trueSelves,0
December 2025,END,,,0
