categoryLong,categoryShort,definition
All representation matters,representation,Seeing queer people in media is impactful -- even when the depictions don't cast us in a positive light. These people or events put sexuality front and center -- even when it was awkward.
Be her or be with her,beHer,My little gay mind can't decide if a famous woman is an inspiration or a crush.
Gender is a construct,genderConstruct,Folks of all genders who challenge the binary give us courage to push back against heteronormativity.
Girl power,girlPower,"Women and groups who own their power and take control of their lives, inspiring the baby gays. "
Gay recognize gay,gaySeeGay,"I see you, do you see me? Like regular folks, some celebs took a while to come out of the closet, and we could see ourselves in them."
Court of public opinion,publicOpinion,"Even if you've figured out your identity internally, external forces and opinions can still dictate how you move through life and how visible you are. "
Trying on true selves,trueSelves,"Before we could come out, we had to give ourselves some room to figure out what being queer meant to us."
