person,date,event,eventSecondary,representation,beHer,genderConstruct,girlPower,gaySeeGay,publicOpinion,trueSelves,total,theme
ashleé,January 1989,START,,,,,,,,,0,
ashleé,August 1989,Kelly Kapowski,Saved by the Bell,,1,,,,,,1,beHer
ashleé,September 1989,Raven Symone,The Cosby Show,,,,,1,,,1,gaySeeGay
ashleé,September 1990,"Lori ""Ice"" Fetrick",American Gladiators,,,,1,,,,1,girlPower
ashleé,January 1991,Same-sex couples,The Game of Life,,,,,,,,0,
ashleé,May 1991,Thelma and Louise,,,,,1,,,,1,girlPower
ashleé,September 1991,The Jerry Springer Show,,,,,,,,,0,
ashleé,November 1991,TLC condoms outfits,,,,,1,,,,1,girlPower
ashleé,December 1991,"""Sister of the Bride"" episode",The Golden Girls,,,,1,,,,1,girlPower
ashleé,December 1991,Fried Green Tomatoes,,,,,,1,,,1,gaySeeGay
ashleé,April 1992,Linda Ellerbee,Nick News,,,,,,,,0,
ashleé,June 1992,Michelle Pfeiffer,Catwoman,,,,,,,,0,
ashleé,July 1992,A League of Their Own (movie),,,,,1,,,,1,girlPower
ashleé,March 1993,Stone Butch Blues,Leslie Feinberg,,,,,,,,0,
ashleé,August 1993,k.d. lang/Cindy Crawford,Rolling stone cover,,1,,,,,,1,beHer
ashleé,September 1993,Babeland,,,,,,,,,0,
ashleé,September 1993,Gillian Anderson,The X-Files,,,,,,,,0,
ashleé,September 1993,"Beth's ""I'm not gay, but my girlfriend is"" shirt",The Real World: Los Angeles,1,,,,,,,1,representation
ashleé,October 1993,Green Ranger/Tommy,Power Rangers,,,,,,,1,1,trueSelves
ashleé,October 1993,Mrs. Doubtfire,,,,1,,,,,1,genderConstruct
ashleé,November 1993,Debbie Zelensky,Addams Family Values,,1,,,,,,1,beHer
ashleé,March 1994,Spice Girls,,,,,1,,,,1,girlPower
ashleé,May 1994,Alicia Silverstone/Liv Tyler,Aerosmith's Crazy music video,,,,,,,,0,
ashleé,June 1994,Da Brat,,,,,,1,,,1,gaySeeGay
ashleé,August 1995,Victoria's Secret Fashion Show,,,,,,,,,0,
ashleé,September 1995,Elizabeth Berkley,Showgirls,,1,,,,,,1,beHer
ashleé,September 1995,Xena,,,1,,,,,,1,beHer
ashleé,May 1996,Gurl.com,,,,,,,,,0,
ashleé,June 1996,The Rosie O'Donnell Show,,,,,,1,,,1,gaySeeGay
ashleé,July 1996,1996 Atlanta Olympics,,,,,1,,,,1,girlPower
ashleé,August 1996,Miss Honey,Matilda,,,,,,,1,1,trueSelves
ashleé,October 1996,Jennifer Tilly/Gina Gershon,Bound,,1,,,,,,1,beHer
ashleé,October 1996,Vagina Monologues,,1,,,,,,,1,representation
ashleé,March 1997,MTV Spring Break,,,,,,,,,0,
ashleé,March 1997,Willow/Tara,Buffy the Vampire Slayer,,,,,,,,0,
ashleé,April 1997,Ellen/Laura Dern,Ellen,,,,,,1,,1,publicOpinion
ashleé,May 1997,A/S/L,AOL,,,,,,,,0,
ashleé,June 1997,WNBA,,,,,1,,,,1,girlPower
ashleé,July 1997,Lillith Fair,,,,,1,,,,1,girlPower
ashleé,December 1997,Kate Winslet,Titanic,,1,,,,,,1,beHer
ashleé,January 1998,Angelina Jolie,Gia,,1,,,,,,1,beHer
ashleé,March 1998,Neve Campbell/Denise Richards,Wild Things,,1,,,,,,1,beHer
ashleé,June 1998,Mulan,,,,,1,,,,1,girlPower
ashleé,June 1998,Sex and the City,,1,,,,,,,1,representation
ashleé,October 1998,Matthew Shepard Murder,,,,,,,1,,1,publicOpinion
ashleé,November 1998,Tegan and Sara,,,,,,,,,0,
ashleé,November 1998,Him,Powerpuff Girls,,,1,,,,,1,genderConstruct
ashleé,December 1998,Josh Hartnett,Faculty haircut era,,,,,,,,0,
ashleé,January 1999,Thong Song,Sisqo,,1,,,,,,1,beHer
ashleé,March 1999,Man I Feel Like a Woman,Shania Twain ,,,1,,,,,1,genderConstruct
ashleé,March 1999,Sarah Michelle Gellar/Selma Blair,Cruel Intentions,1,,,,,,,1,representation
ashleé,June 1999,Ruthie,The Real World: Hawaii,1,,,,,,,1,representation
ashleé,July 1999,Undressed,MTV,,,,,,,,0,
ashleé,July 1999,Brandi Chastian,World Cup,,,,1,,,,1,girlPower
ashleé,September 1999,But I'm a Cheerleader,,,,,,,,1,1,trueSelves
ashleé,September 1999,Detective Olivia Benson,Law & Order: SVU,,,,1,,,,1,girlPower
ashleé,September 1999,Lil Kim's Boob/Diana Ross,MTV VMAs,,,,,,1,,1,publicOpinion
ashleé,October 1999,Boys Don't Cry,Brandon Teena,,,,,,1,,1,publicOpinion
ashleé,February 2000,Same-sex couples,The Sims,,,,,,,,0,
ashleé,February 2000,The Chicks,,,,,1,,,,1,girlPower
ashleé,April 2000,Love and Basketball,Love and Basketball,,,,1,,,,1,girlPower
ashleé,August 2000,Coyote Ugly,,,,,,,,,0,
ashleé,August 2000,Bring It On,,,,,1,,,,1,girlPower
ashleé,May 2001,Vests,,,,,,,,1,1,trueSelves
ashleé,September 2001,September 11th,,,,,,,,,0,
ashleé,March 2002,Halle Berry Oscars dress,,,,,,,,,0,
ashleé,March 2002,Hilary Duff/Christy Carlson Romano,Cadet Kelly,,,,,,,,0,
ashleé,April 2002,AfterEllen,The early years,,,,,,,,0,
