person,date,event,eventSecondary,representation,beHer,genderConstruct,girlPower,gaySeeGay,publicOpinion,trueSelves,total,theme
ashleé,August 2002,All the Things She Said ,t.A.T.u.,1,,,,,,,1,representation
ashleé,August 2003,Evan Rachel Wood/Nikki Reed,Thirteen (movie),,,,,,,,0,
ashleé,August 2003,Bend it Like Beckham,,,,,,,,1,1,trueSelves
ashleé,August 2003,Britney & Madonna (& Christina) kiss,MTV VMAs,1,,,,,,,1,representation
ashleé,October 2003,Wicked (Broadway),,,,,1,,,,1,girlPower
ashleé,January 2004,Janet Jackson wardrobe malfunction,Super Bowl,,,,,,1,,1,publicOpinion
ashleé,January 2004,Saved!,,1,,,,,,,1,representation
ashleé,January 2004,The L Word,,1,,,,,,,1,representation
ashleé,April 2004,Mean Girls,,,,,,,,,0,
ashleé,July 2004,Halle Berry,Catwoman,,1,,,,,,1,beHer
ashleé,February 2005,Alex/Marissa,The OC,,,,,,,,0,
ashleé,July 2005,Hayley Williams,Paramore,,,,,,,,0,
ashleé,September 2005,Kim Stolz,America's Next Top Model,,,,,,,,0,
ashleé,November 2005,Spashley,South of Nowhere,,,,,,,,0,
ashleé,January 2006,Gabrielle/Susan kiss,Desperate Housewives,,,,,,,,0,
ashleé,January 2006,Fun Home,Alison Bechdel,1,,,,,,,1,representation
ashleé,October 2006,Oprah,Wives Living Two Lives episode,,,,,,,,0,
ashleé,February 2007,Like a Boy,Ciara,,1,,,,,,1,beHer
ashleé,February 2007,Shakira/Beyoncé,Beautiful Liar,,1,,,,,,1,beHer
ashleé,October 2007,Dani,A Shot at Love with Tila Tequila,1,,,,,,,1,representation
ashleé,April 2008,I Kissed A Girl,Katy Perry,1,,,,,,,1,representation
ashleé,August 2008,Uh Huh Her,,,,,,,,,0,
ashleé,September 2008,Rachel Maddow,,,,,,,,,0,
ashleé,October 2008,Callie/Arizona,Grey's Anatomy,,,,,,,1,1,trueSelves
ashleé,October 2008,Dearly Not Queerly / No Homo / That's So Gay,Hillary Duff PSA,1,,,,,,,1,representation
ashleé,October 2008,If I Were a Boy,Beyoncé,,1,,,,,,1,beHer
ashleé,November 2008,Legalize Gay,American Apparel ,,,,,,,,0,
ashleé,November 2008,Lindsay Lohan/Samantha Ronson,,1,,,,,,,1,representation
ashleé,November 2008,Prop 8,,,,,,,1,,1,publicOpinion
ashleé,February 2009,RuPaul's Drag Race,,,,1,,,,,1,genderConstruct
ashleé,March 2009,Autostraddle,,1,,,,,,,1,representation
ashleé,July 2009,She Wolf video,Shakira ,,,,,,,,0,
ashleé,September 2009,Jennifer's Body,,,,,,,,,0,
ashleé,April 2010,Lady Gaga Strap-on,Q Mazagine,,,,,,,,0,
ashleé,December 2010,Don't Ask Don't Tell repeal,,,,,,,1,,1,publicOpinion
ashleé,September 2011,Santana/Brittney,Glee,1,,,,,,,1,representation
ashleé,June 2013,United States v. Windsor,Edie Windsor,,,,,,,,0,
ashleé,July 2013,Orange is the New Black,,1,,,,,,,1,representation
ashleé,October 2013,Blue is the Warmest Color,,,1,,,,,,1,beHer
ashleé,November 2013,Frozen,,,,,,,,1,1,trueSelves
ashleé,January 2014,Shakira/Rihanna,Can't Remeber to Forget You,,,,,,,,0,
ashleé,January 2015,Kate McKinnon,"As Justin Bieber, SNL",,,,,,,,0,
ashleé,May 2015,Carol/Therese,Carol,1,,,,,,,1,representation
ashleé,June 2015,Obergefell v. Hodges,,1,,,,,,,1,representation
ashleé,August 2015,Kim Davis,,,,,,,1,,1,publicOpinion
ashleé,December 2015,Sarah Paulson/Holland Taylor,,1,,,,,,,1,representation
ashleé,June 2016,Pulse,,,,,,,1,,1,publicOpinion
ashleé,August 2016,Megan Rapinoe/Sue Bird,,,,,,1,,,1,gaySeeGay
ashleé,September 2016,The Handmaiden,,,1,,,,,,1,beHer
ashleé,February 2017,"""I’m, like, so gay, dude.""","Kristen Stewart , SNL",,,,,1,,,1,gaySeeGay
ashleé,March 2017,Great Fairies,The Legend of Zelda: Breath of the Wild,,,,,,,,0,
ashleé,January 2018,Lesbian Masterdoc,,,,,,,,1,1,trueSelves
ashleé,April 2018,Ronit/Esti,Disobedience,,,,,,,,0,
ashleé,April 2018,Killing Eve,,,1,,,,,,1,beHer
ashleé,April 2018,Pink,Janelle Monae,,1,,,,,,1,beHer
ashleé,May 2018,Hayley Kiyoko/Kehlani,What I Need,,,,,,,,0,
ashleé,January 2019,Sex Education,,,,,,,,1,1,trueSelves
ashleé,May 2019,Red White and Royal Blue,,1,,,,,,,1,representation
ashleé,September 2019,Woxer/Tomboy X,,,,,,,,1,1,trueSelves
ashleé,October 2020,"Lauren Jauregui on ""Camren""","Becky G's ""En la sala""",,,,,,,,0,
ashleé,December 2020,Layshia Clarendon,WNBA,,,,,,,,0,
ashleé,March 2021,Cardi B/Megan Thee Stalliion,"WAP scissoring, MTV VMAs",,,,1,,,,1,girlPower
ashleé,June 2021,Everyone is Awesome,Lego Pride set,1,,,,,,,1,representation
ashleé,June 2021,Queen Latifah comes out,BET Awards,,,,,,,1,1,trueSelves
ashleé,November 2021,Bradley/Laura,The Morning Show,,,,,,,,0,
ashleé,January 2022,Amy Schneider,Jeopardy,1,,,,,,,1,representation
ashleé,February 2022,Boyfriend,Dove Cameron,,,,,,,,0,
ashleé,June 2022,Repeal of Roe v. Wade,,,,,,,1,,1,publicOpinion
ashleé,August 2022,A League of Their Own (TV),,1,,,,,,,1,representation
ashleé,May 2023,Queer Ultimatum,,1,,,,,,,1,representation
ashleé,August 2023,Bottoms,,,,,,,,1,1,trueSelves
ashleé,August 2023,Reneé Rapp,,1,,,,,,,1,representation
ashleé,September 2023,Chappell Roan,,1,,,,,,,1,representation
ashleé,May 2024,"""Got the strap in my bag like a freak bitch""","G6 Freestyle, Megan Thee Stallion",,,,,,,,0,
ashleé,July 2024,Ilona Maher,Olympic Rugby,,,,1,,,,1,girlPower
ashleé,July 2024,Melissa Etheridge/David Crosby,Sperm donation,,,,,,1,,1,publicOpinion
ashleé,September 2024,Alex Morgan and the Lesbians,U.S. Soccer,,,,,,,,0,
ashleé,November 2024,Wicked (movie),,,,,,,,1,1,trueSelves
ashleé,February 2025,Kehlani/KWN,Worst Behavior,,1,,,,,,1,beHer
ashleé,April 2025,Studyoncé,,,1,,,,,,1,beHer
ashleé,July 2025,Margo/Sophie,Hunting Wives,,,,,,,,0,
ashleé,July 2025,Stud Budz,Courtney Williams & Natisha Hiedeman,1,,,,,,,1,representation
ashleé,August 2025,K-Pop Demon Hunters,,,,,,,,1,1,trueSelves
ashleé,December 2025,END,,,,,,,,,0,
