date,event,janComment,ashComment
January 1989,START,,
August 1989,Kelly Kapowski (Tiffani-Amber Thiesen) on Saved by the Bell,,
September 1989,Raven Symone (Jan's ridden an elevator with her),,
September 1990,"American Gladiators (Lori ""Ice"" Fetrick)",testing,
January 1991,Playing The Game of LIFE gay,,
May 1991,Thelma and Louise,,
September 1991,Jerry Springer + all afternoon talk shows,,test 2
November 1991,TLC condoms era,,
December 1991,Golden Girls(lesbian -> lebanese!),,
December 1991,Fried Green Tomatoes,,
April 1992,Linda Ellerbee Nick News,,
June 1992,Michelle Pfeiffer (catwoman),,
July 1992,League of Their Own (movie),,
March 1993,Stone Butch Blues,,
August 1993,k.d. land and Cindy Crawford on the cover of Rolling Stone,,
September 1993,Babeland,,
September 1993,The Real World (Beth/girlfriend shirt),,
September 1993,X-Files Gillian Anderson (not crown era),,
October 1993,Green Ranger,,
November 1993,Debbie Zelensky (Joan Cusack) in Addams Family Values,,
March 1994,Spice Girls,,
May 1994,Aerosmith Crazy music video,"Seeing sapphic represention often meant overlooking creepiness, like Liv being Steve Tyler's daughter.",
June 1994,Da Brat + All That Theme Song,,
September 1995,Showgirls,,
September 1995,Xena,,
May 1996,Gurl.com,,
June 1996,The Rosie O'Donnell Show,,
July 1996,1996 Atlanta Olympics,,
October 1996,Bound,,
October 1996,Vagina Monologues (like our Rocky Horror),,
March 1997,MTV Spring Break,,
March 1997,Buffy,,
April 1997,Ellen coming out on her sitcom with Laura Dern,,
May 1997,Pretending you were a boy on AOL when asked A/S/L,Catfishing before there was a name for it.,
June 1997,WNBA,,
July 1997,Lillith Fair,,
December 1997,"Kate Winslet, specifclaly Titantic drawing scene","I watched Titantic for the 3rd time with my grandmother, who promptly covered my eyes when Jack draws Rose. She must have known somehting I didn't.",
January 1998,Gia / Angelina Jolie,,
March 1998,Wild Things,,
June 1998,Sex and the City (Kim vs. Miranda!),,
June 1998,Mulan,,
October 1998,Matthew Shepard Murder,,
November 1998,Tegan and Sara,,
November 1998,Him Powerpuff Girls,,
December 1998,"Josh Hartnett being your default ""crush""",I don't know why Josh Harnett's awful haircut in The Faculty had a hold on me (or so many of us) so much.,
January 1999,Sisqo Thong Song,,
March 1999,Man I Feel Like a Woman / Shania Twain ,,
March 1999,Cruel Intentions (Selma Blair / Sarah Michelle Gellar),,
June 1999,The Real World (Ruthie),,
July 1999,MTV's Undressed,,
July 1999,Brandi Chastian,"This image meant so much to me that years later when I had access to news images, it was one of the first ones I downloaded.",
September 1999,Lil Kim's Boob,,
September 1999,Detective Olivia Benson,,
September 1999,But I'm a Cheerleader,,
October 1999,Boys Don't Cry (Brandon Teena),,
February 2000,"The Chicks, specifically Natalie Maines",,
February 2000,Making your Sims gay,,
