person,date,event,lust,representation,beHer,genderConstruct,girlPower,gaySeeGay,publicOpinion,trueSelves
jan,February 2000,"The Chicks, specifically Natalie Maines",,,1,,1,,,
jan,February 2000,Making your Sims gay,,,,,,,,
jan,April 2000,Love and Basketball,1,,1,,,,,
jan,August 2000,Bring It On,,,1,,,,,
jan,August 2000,Coyote Ugly,1,,,,,,,
jan,May 2001,Vests,,,,,,1,,1
jan,March 2002,Halle Berry Oscars dress,1,,,,,,,
jan,March 2002,Cadet Kelly movie,,,1,,,,,
jan,April 2002,AfterEllen pre TERFs,,,,,,,,1
jan,August 2002,All the Things She Said / t.A.T.u.,1,1,,,,,,
jan,August 2003,Bend it Like Beckham,,,,,,,,
jan,August 2003,Britney & Madonna Kiss,1,,,,,,,
jan,January 2004,Janet's Boob,,,,,,,1,
jan,January 2004,The L Word,1,1,,,,,,1
jan,January 2004,Saved! movie,,,,,,,,
jan,April 2004,Mean Girls,,,,,,,1,
jan,July 2004,Cat Woman (Halle),1,,,,,,,
jan,February 2005,Alex/Marissa The OC,,1,,,,,,
jan,July 2005,Hayley Williams,,,1,,,,,
jan,November 2005,South of Nowhere,,1,,,,,,
jan,January 2006,Desperate Housewives - Gabrielle and Susan kiss,1,1,,,,,,
jan,January 2006,Fun Home (book + play),,,,,,1,,
jan,October 2006,Oprah - Wives Living Two Lives episode,,1,,,,1,,
jan,February 2007,Like a Boy (Ciara),,,,1,,,,
jan,February 2007,Shakira/Beyoncé,1,,,,,,,
jan,October 2007,Tila Tequila Shot at Love (Dani),,1,,,,,,
jan,April 2008,I Kissed A Girl,,1,,,,,,
jan,September 2008,Rachel Maddow,,,,,,1,,
jan,October 2008,Grey's Anatomy (Callie / Arizona) + Erica Hahn,,1,,,,,,
jan,October 2008,If I Were a Boy (Beyoncé),,,,,,,,
jan,October 2008,Dearly Not Queerly / No Homo / That's so Gay (HIllary Duff),,,,,,,1,
jan,November 2008,Lindsay Lohan / Samantha Ronson,,,1,,,,,
jan,November 2008,American Apparel Legalize Gay underwear,,,,,,,,1
jan,November 2008,Prop 8,,,,,,,1,
jan,February 2009,RuPaul,,,,1,,,,
jan,March 2009,Autostraddle,,,,,,1,,
jan,July 2009,Shakira She Wolf Video,1,,,,,,,
jan,April 2010,Lady Gaga Strap on Photoshoot ,,,,1,,,,
jan,December 2010,Don't Ask Don't Tell repeal (Katie Miller),,,,,,,1,
jan,September 2011,"Glee (Santana, Brittney)",1,,,,,,,
jan,June 2013,US v. Windsor (Edie Windsor),,,,,,,1,
jan,July 2013,Orange is the New Black (the real Piper lived in Jan's neighborhood and we'd go to the same wine bar),,1,,,,,,
jan,October 2013,Blue is the Warmest Color,1,,,,,,,
jan,November 2013,Frozen,,,,,,,,
jan,January 2014,Shakira + Rhianna Can't Remeber to Forget You video,1,,,,,,,
jan,January 2015,"Kate McKinnon (specifically as Justin Bieber, CK)",,,,1,,1,,
jan,May 2015,Carol / Price of Salt,,1,,,,,,
jan,June 2015,Supreme Court Marriage,,,,,,,1,
jan,August 2015,Fucking Kim Davis,,,,,,,1,
jan,December 2015,Sarah Paulson + Holland Taylor,,,1,,,,,
jan,June 2016,Pulse,,,,,,,1,
jan,August 2016,Megan Rapinoe / Sue Bird,,,,,,1,,
jan,February 2017,"Kristen Stewart ""I’m, like, so gay, dude.""",,,,,,1,,
jan,March 2017,Zelda BOTW Great Fairies,,,,1,,1,,
jan,January 2018,Lesbian Masterdoc /TikTok,,,,,,,,
jan,April 2018,Janelle Monae (Pynk),,,,,,1,,
jan,April 2018,Disobedience - Rachel Weisz,1,,,,,1,,
jan,April 2018,Killing Eve,,,,,,,,
jan,May 2018,Hayley Kiyoko / Kehlani,1,,1,,,,,
jan,January 2019,Sex Education,,1,,,,,,
jan,May 2019,RWRB,,,,,,,,
jan,September 2019,Woxer,,,,1,,,,1
jan,October 2020,"Lauren Jauregui x Becky G interview ""Camren""",,,,,,,1,
jan,December 2020,Layshia Clarendon (trans non-binary),,,,1,,,,
jan,March 2021,Cardi and Megan WAP scissoring,1,,,,,,,
jan,June 2021,Lego Pride set,,1,,,,,,
jan,June 2021,Queen Latifah comes out,,,,,,,,
jan,January 2022,Amy Schneider Jeopardy,,1,,,,1,,
jan,June 2022,Repeal of Roe,,,,,,,1,
jan,August 2022,League of Their Own (tv),,,,,1,1,,
